STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
11433300,MF AMERICAN R NR FORESTHILL CA,Non-ref,WestMnts,1350.281,18,39.006289,-120.762152,CA,,yes,51,51,20
11433500,MF AMERICAN R NR AUBURN CA,Non-ref,WestMnts,1590.851,18,38.917954,-121.015222,CA,,,73,35,0
11441002,UNION VALLEY PH NR PACIFIC CA,Non-ref,WestMnts,216.5031,18,38.864627,-120.44381,CA,,yes,36,36,20
11441800,SILVER C BL JUNCTION DAM NR POLLOCK PINES CA,Non-ref,WestMnts,368.1612,18,38.85213,-120.45714,CA,,yes,4,4,2
11441900,SILVER C BL CAMINO DIV DAM CA,Non-ref,WestMnts,441.7299,18,38.823793,-120.539369,CA,,yes,49,49,20
11442500,SF AMERICAN R BL SILVER C NR POLLOCK PINES CA,Non-ref,WestMnts,1162.639,18,38.793514,-120.618261,CA,,,23,23,4
11442700,BRUSH C BL BRUSH CREEK DAM NR POLLOCK PINES CA,Non-ref,WestMnts,20.6946,18,38.811292,-120.623261,CA,,yes,22,22,20
11443500,SF AMERICAN R NR CAMINO CA,Non-ref,WestMnts,1276.72,18,38.772958,-120.701598,CA,,yes,87,60,20
11444201,ROCK C NR PLACERVILLE CA,Non-ref,WestMnts,189.0081,18,38.794347,-120.775489,CA,,,22,22,19
11444500,SF AMERICAN R NR PLACERVILLE CA,Non-ref,WestMnts,1547.231,18,38.771013,-120.816324,CA,,yes,53,45,20
11445500,SF AMERICAN R NR LOTUS CA,Non-ref,WestMnts,1743.597,18,38.818512,-120.946885,CA,,,44,44,6
11435100,PYRAMID C A TWIN BRIDGES CA,Non-ref,WestMnts,22.7952,18,38.815741,-120.117131,CA,,yes,39,39,20
11436000,SILVER LK OUTLET NR KIRKWOOD CA,Non-ref,WestMnts,39.0204,18,38.671298,-120.122688,CA,,yes,87,60,20
11439500,SF AMERICAN R NR KYBURZ(RIVER ONLY) CA,Non-ref,WestMnts,499.6917,18,38.763518,-120.328528,CA,,yes,87,60,20
11440000,ALDER C NR WHITEHALL  TOTAL FLOW CA,Non-ref,WestMnts,57.0726,18,38.755184,-120.372418,CA,,,59,32,0
11441500,SF SILVER C NR ICE HOUSE CA,Non-ref,WestMnts,71.496,18,38.818795,-120.365196,CA,,yes,85,60,20
11370500,SACRAMENTO R A KESWICK CA,Non-ref,WestMnts,16721.33,18,40.600984,-122.444455,CA,,yes,71,60,20
11372000,CLEAR C NR IGO CA,Non-ref,WestMnts,589.8708,18,40.513206,-122.52418,CA,,yes,69,60,20
11375700,NF COTTONWOOD C NR IGO CA,Non-ref,WestXeric,228.4146,18,40.442095,-122.55029,CA,,,24,24,0
11376000,COTTONWOOD C NR COTTONWOOD CA,Non-ref,WestXeric,2312.529,18,40.387098,-122.238612,CA,,yes,69,60,20
11378800,RED BANK C NR RED BLUFF CA,Non-ref,WestXeric,231.5817,18,40.090154,-122.413612,CA,,,23,23,0
11379500,ELDER C NR PASKENTA CA,Non-ref,WestXeric,239.7195,18,40.024598,-122.509724,CA,,yes,61,60,20
11380500,ELDER C A GERBER CA,Non-ref,WestXeric,357.2145,18,40.051268,-122.165825,CA,,,20,20,0
11390000,BUTTE C NR CHICO CA,Non-ref,WestMnts,383.3298,18,39.725995,-121.708864,CA,,yes,79,60,20
11425000,FEATHER R NR NICOLAUS,Non-ref,WestMnts,15253.06,18,38.890453,-121.604406,CA,,,40,34,0
11336580,MORRISON C NR SACRAMENTO CA,Non-ref,WestXeric,106.0317,18,38.498518,-121.452732,CA,,yes,40,40,12
11336585,LAGUNA C NR ELK GROVE CA,Non-ref,WestXeric,81.9756,18,38.423243,-121.353284,CA,,yes,13,13,13
11191000,KERN R BL ISABELLA DAM CA,Non-ref,WestMnts,5374.42,18,35.639119,-118.484808,CA,,,45,41,1
11192500,KERN R NR DEMOCRAT SPRINGS(RIVER ONLY) CA,Non-ref,WestMnts,5849.263,18,35.520789,-118.677033,CA,,yes,52,52,19
11192950,KERN R BL KERN CYN PH DIV DAM NR BAKERSFIELD CA,Non-ref,WestMnts,5953.54,18,35.46023,-118.77954,CA,,yes,14,14,14
11193020,KERN R A RIO BRAVO PP DIV DAM NR BKRSFLD CA,Non-ref,WestMnts,5982.144,18,35.43024,-118.82259,CA,,yes,16,16,16
11194000,KERN R NR BAKERSFIELD CA,Non-ref,WestMnts,6220.905,18,35.431624,-118.946209,CA,,,77,27,0
11196420,TEHACHAPI C NR TEHACHAPI CA,Non-ref,WestXeric,138.9384,18,35.173853,-118.479531,CA,,,23,23,0
11197800,POSO C NR OILDALE CA,Non-ref,WestXeric,593.7975,18,35.513844,-118.905651,CA,,,26,26,0
11221500,KINGS R BL PINE FLAT DAM CA,Non-ref,WestMnts,4002.107,18,36.830505,-119.336235,CA,,,36,36,1
11221700,MILL C NR PIEDRA CA,Non-ref,WestXeric,327.9582,18,36.81856,-119.34179,CA,,,37,37,5
11186000,KERN R NR KERNVILLE(RIVER ONLY) CA,Non-ref,WestMnts,2190.521,18,35.945226,-118.477586,CA,,yes,49,49,20
11187000,KERN R A KERNVILLE CA,Non-ref,WestMnts,2663.107,18,35.754395,-118.423418,CA,,,47,40,4
11189500,SF KERN R NR ONYX CALIF,Non-ref,WestMnts,1371.159,18,35.737452,-118.173689,CA,,yes,81,57,17
11201456,NF OF MF TULE R BL DIV DAM NR SPRINGVILLE CA,Non-ref,WestMnts,80.0784,18,36.19245,-118.65787,CA,,yes,2,2,2
11202000,NF OF MF TULE R NR SPRINGVILLE(RIVER ONLY CA,Non-ref,WestMnts,101.6073,18,36.174669,-118.695647,CA,,yes,63,54,20
11202710,MF TULE R BL INTAKE AB SPRINGVILLE CA,Non-ref,WestMnts,222.7527,18,36.16134,-118.70954,CA,,yes,20,20,19
